id;name;code;academic_start_year;academic_end_year
1;Kids Universal Saint;system transmit;4915;22415
2;one-to-one turquoise Pizza;Steel Pants synthesizing;51803;79947
3;Pre-emptive;Cambridgeshire Metrics;54124;9167
4;Human Michigan;cross-platform Lead;80080;16683
5;Bedfordshire bypassing;payment Loan Cotton;43579;93485
6;Islands;e-markets;94308;83531
7;function Handmade Somali;Alaska productize;53663;47237
8;Norway Small mobile;compressing Awesome;74872;52301
9;Ball clear-thinking Legacy;Garden;84287;29897
10;Account application;Refined;54586;47936
