id;name;type;code;date;start_time;end_time
1;Unit Ball Dynamic;REGULAR;Internal neural;2022-04-12T15:14:19;2022-04-12;2022-04-11
2;Romania Pants;EX_REGULAR;invoice;2022-04-12T06:11:54;2022-04-12;2022-04-11
3;olive turn-key;EX_REGULAR;system;2022-04-12T00:34:58;2022-04-11;2022-04-12
4;holistic Shoes Nevada;REGULAR;capacitor;2022-04-12T14:32:20;2022-04-12;2022-04-11
5;blue payment overriding;EX_REGULAR;bricks-and-clicks Bedfordshire;2022-04-12T10:30:04;2022-04-11;2022-04-12
6;Pound;REGULAR;Rubber Corner;2022-04-12T10:51:10;2022-04-12;2022-04-12
7;Secured Metrics;EX_REGULAR;Gold Suriname;2022-04-12T01:30:20;2022-04-12;2022-04-11
8;Village Multi-tiered Japan;REGULAR;Wooden;2022-04-11T19:33:52;2022-04-11;2022-04-12
9;Vermont Awesome approach;EX_REGULAR;hacking;2022-04-12T10:36:46;2022-04-12;2022-04-12
10;deposit;REGULAR;management bus Handmade;2022-04-12T10:13:40;2022-04-11;2022-04-12
