id;name;code;start_date;end_date
1;Administrator holistic engine;disintermediate blue;2022-04-12;2022-04-12
2;Pants explicit;Kenyan Account Computers;2022-04-12;2022-04-11
3;transmit;Chips panel;2022-04-12;2022-04-11
4;Plastic Handmade;Card syndicate South;2022-04-12;2022-04-11
5;Corners South Principal;Intuitive;2022-04-12;2022-04-12
6;Monitored Marketing overriding;conglomeration recontextualize CFP;2022-04-12;2022-04-12
7;black;Nakfa responsive;2022-04-11;2022-04-11
8;Unbranded;Lead Tuna;2022-04-11;2022-04-12
9;Planner Shoes Avon;Forges Avon firewall;2022-04-12;2022-04-11
10;Leone grey payment;Specialist Awesome Phased;2022-04-12;2022-04-11
