id;name;code;type;full_mark;pass_mark
1;1080p;Louisiana;PROJECT_WORK;82133;80115
2;Corporate Ball Associate;deposit Keyboard;PROJECT_WORK;46857;98507
3;structure Chief Pizza;synthesize;THEORY;79182;94911
4;overriding Division;Home Borders;PRACTICAL;59080;40502
5;AI Regional;white Thailand Island;PROJECT_WORK;53749;9106
6;Keys Account Bahrain;pixel workforce;THEORY;75302;29782
7;analyzer Metal;mint transmit payment;THEORY;22181;78847
8;Cambodia;e-enable real-time;THEORY;7275;89026
9;Loan;B2C optimize bandwidth;PROJECT_WORK;14927;86120
10;Central Manager;models Supervisor bluetooth;THEORY;23379;33944
